recipe_id,recipe_name,region_or_origin,category,ingredients,normalized_ingredients,instructions,prep_time_minutes,cook_time_minutes,servings,calories_estimate,difficulty,tags
R079,Ginisang Repolyo,Tagalog,Vegetable Dish,cabbage; carrot; ground pork; garlic; onion; fish sauce; pepper; cooking oil,cabbage; carrot; ground pork; garlic; onion; fish sauce; pepper; cooking oil,Sauté garlic onion and pork. Add carrot and cabbage. Stir-fry until tender-crisp. Season with fish sauce and pepper.,15,25,4,200,Easy,cabbage; stir fry
R080,Corned Beef Guisado,Filipino,Breakfast,canned corned beef; potato; onion; garlic; tomato; cooking oil; black pepper,canned corned beef; potato; onion; garlic; tomato; cooking oil; black pepper,Sauté garlic onion and tomato. Add potato and cook until tender. Add corned beef and cook until slightly crisp.,10,25,3,350,Easy,breakfast; canned food
R081,Tuna Sisig,Filipino,Main Dish,canned tuna; onion; chili; calamansi; mayonnaise; soy sauce; butter; black pepper,canned tuna; onion; chili; calamansi; mayonnaise; soy sauce; butter; black pepper,Sauté onion and chili in butter. Add drained tuna and season with soy sauce pepper and calamansi. Finish with mayonnaise.,10,20,3,280,Easy,budget sisig; tuna
R082,Tokwa't Baboy,Tagalog,Appetizer,tofu; pork belly; soy sauce; vinegar; onion; chili; sugar; garlic; black pepper,tofu; pork belly; soy sauce; vinegar; onion; chili; sugar; garlic; black pepper,Boil pork until tender then slice. Fry tofu until crisp. Mix soy vinegar onion chili sugar garlic and pepper. Toss with pork and tofu.,15,50,4,380,Medium,tofu pork; appetizer
R083,Adobong Kangkong,Tagalog,Vegetable Dish,kangkong; pork bits; soy sauce; vinegar; garlic; onion; black pepper; cooking oil,kangkong; pork bits; soy sauce; vinegar; garlic; onion; black pepper; cooking oil,Sauté garlic onion and pork bits. Add kangkong stems then leaves. Add soy sauce vinegar and pepper. Cook until just tender.,10,20,3,180,Easy,vegetable adobo
R084,Adobong Sitaw,Tagalog,Vegetable Dish,string beans; pork belly; soy sauce; vinegar; garlic; onion; black pepper,string beans; pork belly; soy sauce; vinegar; garlic; onion; black pepper,Sauté pork belly garlic and onion. Add string beans soy sauce vinegar and pepper. Simmer until beans are tender.,15,30,4,260,Easy,vegetable adobo
R085,Adobong Pusit,Filipino,Main Dish,squid; squid ink; vinegar; soy sauce; garlic; onion; tomato; bay leaf; pepper,squid; squid ink; vinegar; soy sauce; garlic; onion; tomato; bay leaf; pepper,Sauté garlic onion and tomato. Add squid vinegar soy sauce ink and bay leaf. Simmer briefly until squid is tender.,15,25,4,310,Medium,squid adobo
R086,Ginataang Alimasag,Filipino,Main Dish,crab; coconut milk; squash; string beans; ginger; garlic; onion; chili; fish sauce,crab; coconut milk; squash; string beans; ginger; garlic; onion; chili; fish sauce,Sauté aromatics. Add coconut milk and squash. Add crab and simmer until cooked. Add string beans chili and season.,20,45,4,520,Medium,crab; coconut
R087,Ginataang Hipon,Filipino,Main Dish,shrimp; coconut milk; squash; string beans; garlic; onion; ginger; chili; fish sauce,shrimp; coconut milk; squash; string beans; garlic; onion; ginger; chili; fish sauce,Sauté garlic onion and ginger. Add coconut milk and squash. Add shrimp and string beans then simmer briefly. Season with fish sauce.,15,35,4,390,Easy,shrimp; coconut
R088,Gising-Gising,Nueva Ecija,Vegetable Dish,winged beans; ground pork; coconut milk; shrimp paste; chili; garlic; onion,winged beans; ground pork; coconut milk; shrimp paste; chili; garlic; onion,Sauté garlic onion and ground pork. Add shrimp paste coconut milk and chopped winged beans. Simmer until creamy and spicy.,15,35,4,360,Easy,spicy; coconut vegetable
R089,Ginataang Langka,Bicol,Vegetable Dish,young jackfruit; coconut milk; shrimp paste; pork bits; garlic; onion; chili,young jackfruit; coconut milk; shrimp paste; pork bits; garlic; onion; chili,Sauté aromatics and pork bits. Add young jackfruit coconut milk and shrimp paste. Simmer until tender then add chili.,20,45,5,330,Medium,jackfruit; coconut
R090,Ensaladang Talong,Tagalog,Salad,grilled eggplant; tomato; onion; salted egg; vinegar; salt; pepper,grilled eggplant; tomato; onion; salted egg; vinegar; salt; pepper,Grill eggplant then peel and chop. Mix with tomato onion salted egg vinegar salt and pepper. Serve as side dish.,10,20,3,150,Easy,salad; eggplant
R091,Ensaladang Mangga,Filipino,Salad,green mango; tomato; onion; bagoong; sugar optional; chili optional,green mango; tomato; onion; bagoong; sugar optional; chili optional,Slice green mango and mix with tomato onion and bagoong. Add chili or sugar if desired. Serve chilled.,10,15,3,120,Easy,salad; green mango
R092,Atchara,Filipino,Side Dish,green papaya; carrot; ginger; bell pepper; vinegar; sugar; salt; raisins,green papaya; carrot; ginger; bell pepper; vinegar; sugar; salt; raisins,Salt shredded papaya then squeeze dry. Simmer vinegar sugar ginger and salt. Combine with vegetables and chill before serving.,60,30,8,90,Medium,pickle; side dish
R093,Garlic Fried Rice Sinangag,Filipino,Breakfast,day-old rice; garlic; salt; cooking oil; green onion optional,day-old rice; garlic; salt; cooking oil; green onion optional,Fry minced garlic in oil until fragrant. Add day-old rice and stir-fry until hot. Season with salt and top with green onion.,5,15,3,240,Easy,rice; breakfast
R094,Tapsilog,Filipino,Breakfast,beef tapa; garlic fried rice; egg; tomato; cucumber; vinegar dip,beef tapa; garlic fried rice; egg; tomato; cucumber; vinegar dip,Cook beef tapa until browned. Fry egg and prepare garlic rice. Plate with tomato cucumber and vinegar dip.,10,25,1,620,Easy,silog; breakfast
R095,Tosilog,Filipino,Breakfast,tocino; garlic fried rice; egg; tomato; cucumber; vinegar dip,tocino; garlic fried rice; egg; tomato; cucumber; vinegar dip,Pan-cook tocino until caramelized. Fry egg and prepare garlic rice. Serve together with tomato cucumber and vinegar dip.,10,25,1,650,Easy,silog; sweet pork
R096,Longsilog,Filipino,Breakfast,longganisa; garlic fried rice; egg; tomato; cucumber; vinegar dip,longganisa; garlic fried rice; egg; tomato; cucumber; vinegar dip,Cook longganisa until browned. Fry egg and prepare garlic rice. Serve with tomato cucumber and vinegar dip.,10,25,1,680,Easy,silog; sausage
R097,Buko Pandan,Filipino,Dessert,young coconut; pandan jelly; cream; condensed milk; nata de coco; tapioca pearls optional,young coconut; pandan jelly; cream; condensed milk; nata de coco; tapioca pearls optional,Prepare pandan jelly and cut into cubes. Mix with young coconut cream condensed milk nata de coco and tapioca. Chill before serving.,30,25,8,320,Easy,dessert; chilled
R098,Leche Flan,Filipino,Dessert,egg yolks; condensed milk; evaporated milk; sugar; vanilla extract,egg yolks; condensed milk; evaporated milk; sugar; vanilla extract,Caramelize sugar in molds. Mix yolks condensed milk evaporated milk and vanilla gently. Steam until set then chill.,20,60,8,280,Medium,custard; dessert
R099,Halo-Halo,Filipino,Dessert,shaved ice; evaporated milk; sweet beans; nata de coco; kaong; leche flan; ube halaya; pinipig,shaved ice; evaporated milk; sweet beans; nata de coco; kaong; leche flan; ube halaya; pinipig,Layer sweet beans nata de coco kaong and other toppings in a glass. Add shaved ice milk leche flan ube and pinipig.,20,20,2,430,Easy,dessert; shaved ice
R100,Turon,Filipino,Snack,saba banana; jackfruit; brown sugar; spring roll wrappers; cooking oil,saba banana; jackfruit; brown sugar; spring roll wrappers; cooking oil,Place saba and jackfruit on wrapper with brown sugar. Roll tightly then fry until golden and caramelized. Drain and serve warm.,15,30,6,260,Easy,snack; fried banana
